filename,path,recommendation,confidence,reasoning,forbidden_patterns,has_main_function,has_functions,has_classes
datatable_compatibility_issues.py,archive\old_archives\benchmarks\datatable_compatibility_issues.py,needs_migration,high,Contains forbidden patterns: sklearn_usage,sklearn_usage,False,13,0
datatable_pandas_benchmark.py,archive\old_archives\benchmarks\datatable_pandas_benchmark.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,True,2,1
enhanced_examples.py,archive\old_archives\older_prototypes\enhanced_examples.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,7,0
enhanced_discovery_architecture.py,archive\old_archives\older_prototypes\enhanced_discovery_architecture.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
performance_test.py,archive\old_archives\benchmarks\performance_test.py,uncertain_needs_manual_review,low,Test file with functions; Mixed indicators - needs manual review,,False,5,0
datatable_vs_lambda_benchmark.py,archive\old_archives\benchmarks\datatable_vs_lambda_benchmark.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
__init__.py,tidyllm-gateway\src\tidyllm_gateway\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
classifier.py,tidyllm-documents\tidyllm_documents\classification\classifier.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
stemmer.py,tidyllm-sentence\tidyllm_sentence\utils\stemmer.py,inactive_no_imports,medium,No imports - likely empty or template,,False,9,0
analysis.py,tidyllm-whitepapers\tidyllm-whitepapers\analysis.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,1
attachments.py,tidyllm-whitepapers\tidyllm-whitepapers\attachments.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
citations.py,tidyllm-whitepapers\tidyllm-whitepapers\citations.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,10,1
core.py,tidyllm-whitepapers\tidyllm-whitepapers\core.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,2
discovery.py,tidyllm-whitepapers\tidyllm-whitepapers\discovery.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm-whitepapers\tidyllm-whitepapers\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
base_gateway.py,tidyllm-gateway\src\tidyllm_gateway\core\base_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,6
mlflow_backend.py,tidyllm-gateway\src\tidyllm_gateway\core\mlflow_backend.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
provider_registry.py,tidyllm-gateway\src\tidyllm_gateway\core\provider_registry.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,6
rate_limiter.py,tidyllm-gateway\src\tidyllm_gateway\core\rate_limiter.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,7
security.py,tidyllm-gateway\src\tidyllm_gateway\core\security.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
monitoring.py,tidyllm-gateway\src\tidyllm_gateway\enterprise\monitoring.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,7
spend_tracking.py,tidyllm-gateway\src\tidyllm_gateway\enterprise\spend_tracking.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,8
database_gateway.py,tidyllm-gateway\src\tidyllm_gateway\gateways\database_gateway.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,0,3
file_storage_gateway.py,tidyllm-gateway\src\tidyllm_gateway\gateways\file_storage_gateway.py,uncertain_has_todos,medium,Has TODO items: 1 found,,False,0,3
llm_gateway.py,tidyllm-gateway\src\tidyllm_gateway\gateways\llm_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
llmdata_integration.py,tidyllm-gateway\src\tidyllm_gateway\integrations\llmdata_integration.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,14,1
mcp_integration.py,tidyllm-gateway\src\tidyllm_gateway\integrations\mcp_integration.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,4
litellm_clone.py,tidyllm-gateway\src\tidyllm_gateway\litellm_clone.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,8,2
business.py,tidyllm-documents\tidyllm_documents\templates\business.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm-documents\tidyllm_documents\templates\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-documents\tidyllm_documents\classification\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
metadata.py,tidyllm-documents\tidyllm_documents\extraction\metadata.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
text.py,tidyllm-documents\tidyllm_documents\extraction\text.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm-documents\tidyllm_documents\extraction\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-documents\tidyllm_documents\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
analysis.py,tidyllm-compliance\tidyllm_compliance\consistency\analysis.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm-compliance\tidyllm_compliance\consistency\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
validation.py,tidyllm-compliance\tidyllm_compliance\evidence\validation.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm-compliance\tidyllm_compliance\evidence\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
standards.py,tidyllm-compliance\tidyllm_compliance\model_risk\standards.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm-compliance\tidyllm_compliance\model_risk\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-compliance\tidyllm_compliance\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-sentence\tidyllm_sentence\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
academic_benchmark.py,tidyllm-sentence\academic_benchmark.py,needs_migration,high,"Contains forbidden patterns: numpy_usage, sklearn_usage, sentence_transformers",numpy_usage; sklearn_usage; sentence_transformers,True,11,1
debug_transformer.py,tidyllm-sentence\debug_transformer.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
transformer_benchmark.py,tidyllm-sentence\transformer_benchmark.py,needs_migration,high,Contains forbidden patterns: sentence_transformers,sentence_transformers,False,4,0
test_transformer_embeddings.py,tidyllm-sentence\test_transformer_embeddings.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
embeddings.py,tidyllm-sentence\tidyllm_sentence\transformer\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
test_attention.py,tlm\test_attention.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tlm\tlm\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
scaled_dot_product.py,tlm\tlm\attention\scaled_dot_product.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
transformer_exploration.py,tidyllm-sentence\transformer_exploration.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
benchmark_analysis.py,tidyllm-sentence\benchmark_analysis.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
similarity_investigation.py,tidyllm-sentence\similarity_investigation.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
paranoid_validation_ascii.py,tidyllm-sentence\paranoid_validation_ascii.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
paranoid_validation.py,tidyllm-sentence\paranoid_validation.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
benchmark_comparison_ascii.py,tidyllm-sentence\benchmark_comparison_ascii.py,needs_migration,high,"Contains forbidden patterns: numpy_usage, sklearn_usage, sentence_transformers",numpy_usage; sklearn_usage; sentence_transformers,False,4,0
test_integration.py,tidyllm-sentence\test_integration.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
benchmark_comparison.py,tidyllm-sentence\benchmark_comparison.py,needs_migration,high,"Contains forbidden patterns: numpy_usage, sklearn_usage, sentence_transformers",numpy_usage; sklearn_usage; sentence_transformers,False,4,0
test_preprocessing.py,tidyllm-sentence\test_preprocessing.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
embeddings.py,tidyllm-sentence\tidyllm_sentence\tfidf\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
corpus.py,tidyllm-sentence\tidyllm_sentence\utils\corpus.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
preprocessing.py,tidyllm-sentence\tidyllm_sentence\utils\preprocessing.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
stopwords.py,tidyllm-sentence\tidyllm_sentence\utils\stopwords.py,inactive_no_imports,medium,No imports - likely empty or template,,False,2,0
test_demo.py,tidyllm-sentence\test_demo.py,inactive_no_functionality,high,Demo but missing main execution; No functions or classes defined,,False,0,0
tokenize.py,tidyllm-sentence\tidyllm_sentence\utils\tokenize.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,0
embeddings.py,tidyllm-sentence\tidyllm_sentence\lsa\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
embeddings.py,tidyllm-sentence\tidyllm_sentence\ngram\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
embeddings.py,tidyllm-sentence\tidyllm_sentence\word_avg\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
similarity.py,tidyllm-sentence\tidyllm_sentence\utils\similarity.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
split.py,tlm\tlm\model_selection\split.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
metrics.py,tlm\tlm\core\metrics.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,0
losses.py,tlm\tlm\core\losses.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
activations.py,tlm\tlm\core\activations.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
linear.py,tlm\tlm\svm\linear.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
kmeans.py,tlm\tlm\cluster\kmeans.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
logistic_regression.py,tlm\tlm\linear_models\logistic_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
softmax_regression.py,tlm\tlm\linear_models\softmax_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
gmm_pure.py,tlm\tlm\mixture\gmm_pure.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
gaussian.py,tlm\tlm\anomaly\gaussian.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
matrix_factorization.py,tlm\tlm\mf\matrix_factorization.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
multinomial.py,tlm\tlm\naive_bayes\multinomial.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
pca_power.py,tlm\tlm\decomp\pca_power.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,10,0
whiten.py,tlm\tlm\decomp\whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,0
test_algos.py,tlm\tlm\tests\test_algos.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_gmm_pca_whiten.py,tlm\tlm\tests\test_gmm_pca_whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_nb_anom_mf.py,tlm\tlm\tests\test_nb_anom_mf.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
